date,daily_open_price,daily_close_price,daily_change,daily_min_price,daily_max_price,daily_avg_price,current_max_price,price_ratio,MA_30,MA_60,MA_90,MA_120,MA_150,MA_180,MA30_ratio,MA60_ratio,MA90_ratio,MA120_ratio,MA150_ratio,MA180_ratio,value_classification,value
02/08/2020,11807.27134,11065.88283,-0.062790842,10666.6288,12094.16806,11380.39843,11548.30487,-0.014539488,9729.548164,9561.883312,9487.589104,8983.419142,8500.158486,8672.842949,-0.14506085,-0.159793625,-0.166321886,-0.210623495,-0.253087795,-0.237913945,Extreme Greed,80
11/08/2020,11899.41329,11383.4377,-0.043361431,11147.24232,11939.98967,11543.61599,11817.99076,-0.023216701,10425.30562,9846.830522,9723.747624,9321.990521,8746.793073,8753.557058,-0.096876955,-0.146989078,-0.157651499,-0.192454901,-0.242283087,-0.241697137,Extreme Greed,84
16/08/2020,11866.21765,11920.30942,0.004558468,11702.568,11942.97507,11822.77153,11868.60882,-0.003862061,10839.05235,10038.49061,9840.761095,9518.892162,8957.327731,8800.954661,-0.083205463,-0.150919005,-0.167643469,-0.19486796,-0.242366504,-0.255592935,Extreme Greed,82
17/08/2020,11920.32578,12301.13813,0.031946472,11778.14971,12467.4699,12122.8098,12122.8098,0,10937.54847,10084.18545,9867.847236,9560.16278,8996.153956,8813.600747,-0.097771172,-0.168164343,-0.186009894,-0.211390516,-0.257915112,-0.272973767,Extreme Greed,83
18/08/2020,12301.13883,11958.74515,-0.027834308,11837.78886,12401.07493,12119.4319,12122.8098,-0.000278641,11035.70393,10130.68674,9895.924649,9602.846656,9035.747668,8827.747722,-0.08942069,-0.164095576,-0.183466293,-0.207648779,-0.254441318,-0.271603834,Extreme Greed,82
19/08/2020,11958.74482,11769.02629,-0.015864418,11633.53317,12023.42942,11828.4813,12122.8098,-0.024278901,11123.54901,10172.7558,9925.249456,9644.185833,9073.975522,8839.736385,-0.059596179,-0.13997786,-0.160902469,-0.184664067,-0.23287062,-0.252673597,Extreme Greed,80
21/08/2020,11871.30296,11530.67474,-0.028693415,11499.81093,11890.8058,11695.30837,12122.8098,-0.03526422,11281.86699,10249.66959,9982.923067,9720.22706,9145.38605,8862.055342,-0.035351045,-0.123608436,-0.14641643,-0.168878087,-0.218029507,-0.242255521,Extreme Greed,81
02/09/2020,11931.35459,11399.58672,-0.044568944,11228.31973,11962.43125,11595.37549,12122.8098,-0.043507596,11647.09907,10723.36344,10274.17614,10046.43711,9545.654881,9036.466293,0.004460708,-0.075203433,-0.113941921,-0.133582425,-0.176770525,-0.220683599,Extreme Greed,83
06/11/2020,15592.02971,15583.28022,-0.000561152,15208.84139,15946.79282,15577.8171,15577.8171,0,12592.87539,11608.19396,11553.89067,11210.91427,10829.27801,10591.69108,-0.19161489,-0.254825379,-0.258311315,-0.28032829,-0.30482699,-0.320078609,Extreme Greed,90
07/11/2020,15583.28708,14840.45122,-0.047668753,14404.93961,15751.4713,15078.20546,15577.8171,-0.032071993,12741.37927,11689.98778,11591.82347,11259.68909,10864.16508,10627.21859,-0.154980392,-0.22470961,-0.231219955,-0.253247403,-0.279478907,-0.295193409,Extreme Greed,88
08/11/2020,14840.45626,15485.567,0.043469738,14745.42133,15657.61105,15201.51619,15577.8171,-0.024156203,12886.18811,11773.77459,11629.4182,11309.32533,10902.018,10663.03744,-0.152309023,-0.225486823,-0.234983007,-0.256039648,-0.28283351,-0.298554348,Extreme Greed,82
