year,monday_to_friday_change_bucket,monday_to_friday_change_count,monday_to_friday_change_percentage
2018,"(-0.501, -0.4]",0,0.0
2018,"(0.4, 0.5]",0,0.0
2018,"(0.3, 0.4]",0,0.0
2018,"(0.2, 0.3]",2,4.3478260869565215
2018,"(0.15, 0.2]",1,2.1739130434782608
2018,"(0.05, 0.1]",2,4.3478260869565215
2018,"(0.0, 0.05]",12,26.08695652173913
2018,"(0.1, 0.15]",3,6.521739130434782
2018,"(-0.1, -0.05]",7,15.217391304347828
2018,"(-0.15, -0.1]",6,13.043478260869565
2018,"(-0.2, -0.15]",3,6.521739130434782
2018,"(-0.3, -0.2]",1,2.1739130434782608
2018,"(-0.4, -0.3]",0,0.0
2018,"(-0.05, 0.0]",9,19.565217391304348
2019,"(0.05, 0.1]",7,13.461538461538462
2019,"(0.4, 0.5]",0,0.0
2019,"(0.3, 0.4]",0,0.0
2019,"(0.2, 0.3]",1,1.9230769230769231
2019,"(0.15, 0.2]",0,0.0
2019,"(0.0, 0.05]",16,30.76923076923077
2019,"(0.1, 0.15]",6,11.538461538461538
2019,"(-0.1, -0.05]",4,7.6923076923076925
2019,"(-0.15, -0.1]",3,5.769230769230769
2019,"(-0.2, -0.15]",1,1.9230769230769231
2019,"(-0.3, -0.2]",0,0.0
2019,"(-0.4, -0.3]",0,0.0
2019,"(-0.501, -0.4]",0,0.0
2019,"(-0.05, 0.0]",14,26.923076923076923
2020,"(0.4, 0.5]",0,0.0
2020,"(0.3, 0.4]",0,0.0
2020,"(0.2, 0.3]",1,1.9230769230769231
2020,"(0.15, 0.2]",2,3.8461538461538463
2020,"(0.1, 0.15]",7,13.461538461538462
2020,"(0.05, 0.1]",10,19.230769230769234
2020,"(0.0, 0.05]",13,25.0
2020,"(-0.05, 0.0]",13,25.0
2020,"(-0.15, -0.1]",2,3.8461538461538463
2020,"(-0.2, -0.15]",0,0.0
2020,"(-0.3, -0.2]",0,0.0
2020,"(-0.4, -0.3]",1,1.9230769230769231
2020,"(-0.501, -0.4]",0,0.0
2020,"(-0.1, -0.05]",3,5.769230769230769
2021,"(0.05, 0.1]",7,13.20754716981132
2021,"(0.3, 0.4]",0,0.0
2021,"(0.2, 0.3]",2,3.7735849056603774
2021,"(0.15, 0.2]",3,5.660377358490567
2021,"(0.1, 0.15]",6,11.320754716981133
2021,"(0.0, 0.05]",10,18.867924528301888
2021,"(0.4, 0.5]",0,0.0
2021,"(-0.1, -0.05]",9,16.9811320754717
2021,"(-0.15, -0.1]",4,7.547169811320755
2021,"(-0.2, -0.15]",2,3.7735849056603774
2021,"(-0.3, -0.2]",0,0.0
2021,"(-0.4, -0.3]",0,0.0
2021,"(-0.501, -0.4]",0,0.0
2021,"(-0.05, 0.0]",10,18.867924528301888
2022,"(0.4, 0.5]",0,0.0
2022,"(0.3, 0.4]",0,0.0
2022,"(0.2, 0.3]",0,0.0
2022,"(0.15, 0.2]",0,0.0
2022,"(0.1, 0.15]",2,3.8461538461538463
2022,"(0.05, 0.1]",7,13.461538461538462
2022,"(0.0, 0.05]",19,36.53846153846153
2022,"(-0.05, 0.0]",10,19.230769230769234
2022,"(-0.1, -0.05]",8,15.384615384615385
2022,"(-0.15, -0.1]",3,5.769230769230769
2022,"(-0.2, -0.15]",2,3.8461538461538463
2022,"(-0.3, -0.2]",1,1.9230769230769231
2022,"(-0.4, -0.3]",0,0.0
2022,"(-0.501, -0.4]",0,0.0
2023,"(0.3, 0.4]",0,0.0
2023,"(0.2, 0.3]",1,1.9230769230769231
2023,"(0.4, 0.5]",0,0.0
2023,"(0.1, 0.15]",3,5.769230769230769
2023,"(0.05, 0.1]",6,11.538461538461538
2023,"(0.0, 0.05]",13,25.0
2023,"(0.15, 0.2]",2,3.8461538461538463
2023,"(-0.1, -0.05]",4,7.6923076923076925
2023,"(-0.15, -0.1]",2,3.8461538461538463
2023,"(-0.2, -0.15]",0,0.0
2023,"(-0.3, -0.2]",0,0.0
2023,"(-0.4, -0.3]",0,0.0
2023,"(-0.501, -0.4]",0,0.0
2023,"(-0.05, 0.0]",21,40.38461538461539
2024,"(0.4, 0.5]",0,0.0
2024,"(0.3, 0.4]",0,0.0
2024,"(0.2, 0.3]",1,1.9230769230769231
2024,"(0.1, 0.15]",5,9.615384615384617
2024,"(0.05, 0.1]",7,13.461538461538462
2024,"(0.0, 0.05]",14,26.923076923076923
2024,"(0.15, 0.2]",0,0.0
2024,"(-0.1, -0.05]",8,15.384615384615385
2024,"(-0.15, -0.1]",1,1.9230769230769231
2024,"(-0.2, -0.15]",0,0.0
2024,"(-0.3, -0.2]",0,0.0
2024,"(-0.4, -0.3]",0,0.0
2024,"(-0.501, -0.4]",0,0.0
2024,"(-0.05, 0.0]",16,30.76923076923077
2025,"(0.2, 0.3]",0,0.0
2025,"(0.15, 0.2]",0,0.0
2025,"(0.1, 0.15]",0,0.0
2025,"(0.05, 0.1]",0,0.0
2025,"(0.0, 0.05]",1,50.0
2025,"(-0.05, 0.0]",1,50.0
2025,"(-0.2, -0.15]",0,0.0
2025,"(-0.15, -0.1]",0,0.0
2025,"(-0.3, -0.2]",0,0.0
2025,"(-0.4, -0.3]",0,0.0
2025,"(-0.501, -0.4]",0,0.0
2025,"(0.3, 0.4]",0,0.0
2025,"(-0.1, -0.05]",0,0.0
2025,"(0.4, 0.5]",0,0.0
